feature,population_pct,populated_rows,missing_rows,total_rows,declared_type
active_field_size,100.000000,84495,0,84495,INTEGER
age,100.000000,84495,0,84495,INTEGER
condition_runs,100.000000,84495,0,84495,REAL
distance_m,100.000000,84495,0,84495,INTEGER
draw_number,100.000000,84495,0,84495,INTEGER
field_size,100.000000,84495,0,84495,INTEGER
fluc1,100.000000,84495,0,84495,REAL
fluc1_price_rank,100.000000,84495,0,84495,INTEGER
fluc2,100.000000,84495,0,84495,REAL
fluc2_price_rank,100.000000,84495,0,84495,INTEGER
historical_step_down_observations,100.000000,84495,0,84495,REAL
historical_step_up_observations,100.000000,84495,0,84495,REAL
large_weight_drop_flag,100.000000,84495,0,84495,INTEGER
market_fluc1_to_fluc2_move,100.000000,84495,0,84495,REAL
market_fluc1_to_fluc2_move_pct,100.000000,84495,0,84495,REAL
market_implied_prob_change_fluc1_to_fluc2,100.000000,84495,0,84495,REAL
market_implied_prob_change_open_to_fluc2,100.000000,84495,0,84495,REAL
market_open_to_fluc1_move,100.000000,84495,0,84495,REAL
market_open_to_fluc1_move_pct,100.000000,84495,0,84495,REAL
market_open_to_fluc2_move,100.000000,84495,0,84495,REAL
market_open_to_fluc2_move_pct,100.000000,84495,0,84495,REAL
market_price_range_pct,100.000000,84495,0,84495,REAL
market_steam_rank,100.000000,84495,0,84495,INTEGER
market_total_abs_movement,100.000000,84495,0,84495,REAL
num_scratchings,100.000000,84495,0,84495,REAL
open_price,100.000000,84495,0,84495,REAL
open_price_rank,100.000000,84495,0,84495,INTEGER
race_consensus_rank,100.000000,84495,0,84495,INTEGER
race_consensus_score,100.000000,84495,0,84495,INTEGER
race_number,100.000000,84495,0,84495,INTEGER
recent_places,100.000000,84495,0,84495,INTEGER
recent_runs_count,100.000000,84495,0,84495,INTEGER
recent_same_distance_runs,100.000000,84495,0,84495,INTEGER
recent_same_track_runs,100.000000,84495,0,84495,INTEGER
recent_wins,100.000000,84495,0,84495,INTEGER
same_track_distance_runs,100.000000,84495,0,84495,REAL
same_track_runs,100.000000,84495,0,84495,REAL
similar_distance_runs,100.000000,84495,0,84495,REAL
weight_drop_after_close_run_flag,100.000000,84495,0,84495,INTEGER
weight_kg,100.000000,84495,0,84495,REAL
weight_vs_field_mean,100.000000,84495,0,84495,REAL
recent_same_condition_runs,99.942008,84446,49,84495,INTEGER
career_seconds,99.904136,84414,81,84495,INTEGER
career_starts,99.904136,84414,81,84495,INTEGER
career_thirds,99.904136,84414,81,84495,INTEGER
career_wins,99.904136,84414,81,84495,INTEGER
distance_starts,99.904136,84414,81,84495,INTEGER
distance_wins,99.904136,84414,81,84495,INTEGER
dry_rating,99.904136,84414,81,84495,REAL
dry_rating_rank,99.904136,84414,81,84495,INTEGER
first_up_starts,99.904136,84414,81,84495,INTEGER
